"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 16:03:03 MSK 2024","Thu May 30 16:03:03 MSK 2024","592","tests","test_user","TestCreateUser","","","Проверка невозможности создать двух одинаковых пользователей","Запоминаем креды. Создаем user и пытаемся создать user с такими же кредами."
"passed","Thu May 30 16:02:51 MSK 2024","Thu May 30 16:02:53 MSK 2024","1061","tests","test_login","TestLoginUser","","","Проверка авторизации созданного пользователя","Генерируем данные для создания пользователя, создаем пользователя, проверяем логин"
"passed","Thu May 30 16:02:59 MSK 2024","Thu May 30 16:03:00 MSK 2024","1332","tests","test_update_user","TestUpdateUser","","","Проверка обновления параметров пользователя без авторизации","Генерируем данные для создания пользователя, создаем пользователя и без авторизации пытаемся изменить каждый параметр. Удаляем пользователя."
"passed","Thu May 30 16:02:50 MSK 2024","Thu May 30 16:02:51 MSK 2024","1479","tests","test_get_orders","TestGetOrder","","","Запрос списка заказов с авторизацией","Генерируем данные, создаем пользователя, делаем логин и запрашиваем заказы с авторизацией. Удаляем пользователя."
"passed","Thu May 30 16:03:00 MSK 2024","Thu May 30 16:03:02 MSK 2024","1387","tests","test_update_user","TestUpdateUser","","","Проверка обновления параметров пользователя без авторизации","Генерируем данные для создания пользователя, создаем пользователя и без авторизации пытаемся изменить каждый параметр. Удаляем пользователя."
"passed","Thu May 30 16:02:55 MSK 2024","Thu May 30 16:02:56 MSK 2024","1333","tests","test_update_user","TestUpdateUser","","","Проверка обновления параметров пользователя c авторизацией - Успешное обновление","Генерируем данные для создания пользователя, создаем пользователя, делаем логин и пытаемся изменить каждый параметр. Удаляем пользователя."
"passed","Thu May 30 16:02:58 MSK 2024","Thu May 30 16:02:59 MSK 2024","1353","tests","test_update_user","TestUpdateUser","","","Проверка обновления параметров пользователя без авторизации","Генерируем данные для создания пользователя, создаем пользователя и без авторизации пытаемся изменить каждый параметр. Удаляем пользователя."
"passed","Thu May 30 16:03:03 MSK 2024","Thu May 30 16:03:03 MSK 2024","263","tests","test_user","TestCreateUser","","","Проверка, что нельзя создать пользователя с незаполненным email.","Проверка, что нельзя создать курьера с пустыми данными."
"passed","Thu May 30 16:02:56 MSK 2024","Thu May 30 16:02:58 MSK 2024","1250","tests","test_update_user","TestUpdateUser","","","Проверка обновления параметров пользователя c авторизацией - Успешное обновление","Генерируем данные для создания пользователя, создаем пользователя, делаем логин и пытаемся изменить каждый параметр. Удаляем пользователя."
"passed","Thu May 30 16:02:50 MSK 2024","Thu May 30 16:02:50 MSK 2024","226","tests","test_create_order","TestOrder","","","Создание заказа c неверным хешем ингредиента","Делаем заказ без авторизации и с неверным хешем."
"passed","Thu May 30 16:02:54 MSK 2024","Thu May 30 16:02:55 MSK 2024","1386","tests","test_update_user","TestUpdateUser","","","Проверка обновления параметров пользователя c авторизацией - Успешное обновление","Генерируем данные для создания пользователя, создаем пользователя, делаем логин и пытаемся изменить каждый параметр. Удаляем пользователя."
"passed","Thu May 30 16:02:51 MSK 2024","Thu May 30 16:02:51 MSK 2024","201","tests","test_get_orders","TestGetOrder","","","Запрос списка заказов без авторизации","Делаем запрос и получаем ошибку 401."
"passed","Thu May 30 16:02:53 MSK 2024","Thu May 30 16:02:54 MSK 2024","1041","tests","test_login","TestLoginUser","","","Проверка авторизации созданного пользователя с неверным паролем","Генерируем данные для создания пользователя, создаем пользователя, проверяем логин с неверным паролем"
"passed","Thu May 30 16:02:49 MSK 2024","Thu May 30 16:02:50 MSK 2024","243","tests","test_create_order","TestOrder","","","Создание заказа без авторизации без ингредиентов","Делаем заказ без авторизации и без ингредиентов."
"passed","Thu May 30 16:02:47 MSK 2024","Thu May 30 16:02:49 MSK 2024","2335","tests","test_create_order","TestOrder","","","Создание заказа с авторизацией и ингредиентами","Генерируем данные, создаем пользователя, делаем логин и делаем заказ с авторизацией. Удаляем пользователя."
"passed","Thu May 30 16:03:02 MSK 2024","Thu May 30 16:03:03 MSK 2024","819","tests","test_user","TestCreateUser","","","Проверка успешности создания пользователя","Создание шаблонного пользователя, проверка статуса ответа и тела ответа"
"passed","Thu May 30 16:02:49 MSK 2024","Thu May 30 16:02:49 MSK 2024","267","tests","test_create_order","TestOrder","","","Создание заказа с без авторизации с ингредиентами","Делаем заказ без авторизации."
